"country","province","date","cases","deaths","recovered"
"5","Australia","australian capital territory",2020-01-22,0,0,0
"52","Australia","new south wales",2020-01-22,0,0,0
"55","Australia","northern territory",2020-01-22,0,0,0
"63","Australia","queensland",2020-01-22,0,0,0
"76","Australia","south australia",2020-01-22,0,0,0
"78","Australia","tasmania",2020-01-22,0,0,0
"83","Australia","victoria",2020-01-22,0,0,0
"85","Australia","western australia",2020-01-22,0,0,0
"94","Australia","australian capital territory",2020-01-23,0,0,0
"141","Australia","new south wales",2020-01-23,0,0,0
"144","Australia","northern territory",2020-01-23,0,0,0
"152","Australia","queensland",2020-01-23,0,0,0
"165","Australia","south australia",2020-01-23,0,0,0
"167","Australia","tasmania",2020-01-23,0,0,0
"172","Australia","victoria",2020-01-23,0,0,0
"174","Australia","western australia",2020-01-23,0,0,0
"183","Australia","australian capital territory",2020-01-24,0,0,0
"230","Australia","new south wales",2020-01-24,0,0,0
"233","Australia","northern territory",2020-01-24,0,0,0
"241","Australia","queensland",2020-01-24,0,0,0
"254","Australia","south australia",2020-01-24,0,0,0
"256","Australia","tasmania",2020-01-24,0,0,0
"261","Australia","victoria",2020-01-24,0,0,0
"263","Australia","western australia",2020-01-24,0,0,0
"272","Australia","australian capital territory",2020-01-25,0,0,0
"319","Australia","new south wales",2020-01-25,0,0,0
"322","Australia","northern territory",2020-01-25,0,0,0
"330","Australia","queensland",2020-01-25,0,0,0
"343","Australia","south australia",2020-01-25,0,0,0
"345","Australia","tasmania",2020-01-25,0,0,0
"350","Australia","victoria",2020-01-25,0,0,0
"352","Australia","western australia",2020-01-25,0,0,0
"361","Australia","australian capital territory",2020-01-26,0,0,0
"408","Australia","new south wales",2020-01-26,3,0,0
"411","Australia","northern territory",2020-01-26,0,0,0
"419","Australia","queensland",2020-01-26,0,0,0
"432","Australia","south australia",2020-01-26,0,0,0
"434","Australia","tasmania",2020-01-26,0,0,0
"439","Australia","victoria",2020-01-26,1,0,0
"441","Australia","western australia",2020-01-26,0,0,0
"450","Australia","australian capital territory",2020-01-27,0,0,0
"497","Australia","new south wales",2020-01-27,4,0,0
"500","Australia","northern territory",2020-01-27,0,0,0
"508","Australia","queensland",2020-01-27,0,0,0
"521","Australia","south australia",2020-01-27,0,0,0
"523","Australia","tasmania",2020-01-27,0,0,0
"528","Australia","victoria",2020-01-27,1,0,0
"530","Australia","western australia",2020-01-27,0,0,0
"539","Australia","australian capital territory",2020-01-28,0,0,0
"586","Australia","new south wales",2020-01-28,4,0,0
"589","Australia","northern territory",2020-01-28,0,0,0
"597","Australia","queensland",2020-01-28,0,0,0
"610","Australia","south australia",2020-01-28,0,0,0
"612","Australia","tasmania",2020-01-28,0,0,0
"617","Australia","victoria",2020-01-28,1,0,0
"619","Australia","western australia",2020-01-28,0,0,0
"628","Australia","australian capital territory",2020-01-29,0,0,0
"675","Australia","new south wales",2020-01-29,4,0,0
"678","Australia","northern territory",2020-01-29,0,0,0
"686","Australia","queensland",2020-01-29,1,0,0
"699","Australia","south australia",2020-01-29,0,0,0
"701","Australia","tasmania",2020-01-29,0,0,0
